n,type,x,err
7,uni,-8.420000000000000e-01,1.445260237090895e-01
7,uni,-8.400000000000000e-01,1.427452569085737e-01
7,uni,-8.380000000000000e-01,1.409242507055797e-01
7,uni,-8.360000000000000e-01,1.390644623697729e-01
7,uni,-8.340000000000000e-01,1.371673315800550e-01
7,uni,-8.320000000000000e-01,1.352342805224682e-01
7,uni,-8.300000000000000e-01,1.332667139878347e-01
7,uni,-8.280000000000001e-01,1.312660194691307e-01
7,uni,-8.260000000000001e-01,1.292335672585951e-01
7,uni,-8.240000000000001e-01,1.271707105445715e-01
7,uni,-8.220000000000001e-01,1.250787855080842e-01
7,uni,-8.200000000000001e-01,1.229591114191464e-01
7,uni,-8.180000000000001e-01,1.208129907328016e-01
7,uni,-8.160000000000001e-01,1.186417091848963e-01
7,uni,-8.140000000000001e-01,1.164465358875851e-01
7,uni,-8.120000000000001e-01,1.142287234245662e-01
7,uni,-8.100000000000001e-01,1.119895079460477e-01
7,uni,-8.080000000000001e-01,1.097301092634443e-01
7,uni,-8.060000000000000e-01,1.074517309438031e-01
7,uni,-8.040000000000000e-01,1.051555604039589e-01
7,uni,-8.020000000000000e-01,1.028427690044179e-01
7,uni,-8.000000000000000e-01,1.005145121429698e-01
7,uni,-7.980000000000000e-01,9.817192934802643e-02
7,uni,-7.960000000000000e-01,9.581614437168889e-02
7,uni,-7.940000000000000e-01,9.344826528253962e-02
7,uni,-7.920000000000000e-01,9.106938455816133e-02
7,uni,-7.900000000000000e-01,8.868057917738083e-02
7,uni,-7.880000000000000e-01,8.628291071223745e-02
7,uni,-7.860000000000000e-01,8.387742541967590e-02
7,uni,-7.840000000000000e-01,8.146515433296245e-02
7,uni,-7.820000000000000e-01,7.904711335282388e-02
7,uni,-7.800000000000000e-01,7.662430333830908e-02
7,uni,-7.780000000000000e-01,7.419771019737181e-02
7,uni,-7.760000000000000e-01,7.176830497717487e-02
7,uni,-7.740000000000000e-01,6.933704395411437e-02
7,uni,-7.720000000000000e-01,6.690486872356374e-02
7,uni,-7.700000000000000e-01,6.447270628933689e-02
7,uni,-7.680000000000000e-01,6.204146915286921e-02
7,uni,-7.660000000000000e-01,5.961205540211677e-02
7,uni,-7.640000000000000e-01,5.718534880017204e-02
7,uni,-7.620000000000000e-01,5.476221887359571e-02
7,uni,-7.600000000000000e-01,5.234352100046427e-02
7,uni,-7.580000000000000e-01,4.993009649813199e-02
7,uni,-7.560000000000000e-01,4.752277271070690e-02
7,uni,-7.540000000000000e-01,4.512236309623978e-02
7,uni,-7.520000000000000e-01,4.272966731362579e-02
7,uni,-7.500000000000000e-01,4.034547130921731e-02
7,uni,-7.480000000000000e-01,3.797054740314776e-02
7,uni,-7.460000000000000e-01,3.560565437536502e-02
7,uni,-7.440000000000000e-01,3.325153755137424e-02
7,uni,-7.420000000000000e-01,3.090892888768856e-02
7,uni,-7.400000000000000e-01,2.857854705698726e-02
7,uni,-7.380000000000000e-01,2.626109753298031e-02
7,uni,-7.360000000000000e-01,2.395727267497844e-02
7,uni,-7.340000000000000e-01,2.166775181216780e-02
7,uni,-7.320000000000000e-01,1.939320132758833e-02
7,uni,-7.300000000000000e-01,1.713427474181460e-02
7,uni,-7.280000000000000e-01,1.489161279633888e-02
7,uni,-7.260000000000000e-01,1.266584353665444e-02
7,uni,-7.240000000000000e-01,1.045758239503879e-02
7,uni,-7.220000000000000e-01,8.267432273035974e-03
7,uni,-7.200000000000000e-01,6.095983623635962e-03
7,uni,-7.180000000000000e-01,3.943814533151319e-03
7,uni,-7.160000000000000e-01,1.811490802788848e-03
7,uni,-7.140000000000000e-01,3.004339700837244e-04
7,uni,-7.120000000000000e-01,2.391418310977972e-03
7,uni,-7.100000000000000e-01,4.460932787632876e-03
7,uni,-7.080000000000000e-01,6.508459929671376e-03
7,uni,-7.060000000000000e-01,8.533494148567369e-03
7,uni,-7.040000000000000e-01,1.053554165792384e-02
7,uni,-7.020000000000000e-01,1.251412039406326e-02
7,uni,-7.000000000000000e-01,1.446875993693189e-02
